***SENSOR SELECTION
CH 1-Voltage(�1V)
CH 2-Voltage(�1V)
INTERNAL
*** Sampling Rate 
1 Sample/s
*** Duration to Monitor  
5 Hours
Time(s),V1,V2,�C
576.000000,0.432375,0.654952,28.0786
577.000000,0.432907,0.539404,28.0786
578.000000,0.432907,0.478168,28.0786
579.000000,0.432907,0.133653,28.0786
580.000000,0.432907,-0.001597,28.0786
581.000000,0.433440,-0.004792,28.0786
582.000000,0.433440,-0.006390,28.0786
583.000000,0.433440,0.037806,28.0786
584.000000,0.433440,0.287007,28.0786
585.000000,0.433972,0.453142,28.0786
586.000000,0.433972,-0.007987,28.0786
587.000000,0.433972,-0.007987,28.0786
588.000000,0.434505,0.038871,28.0786
589.000000,0.434505,0.605431,28.0786
590.000000,0.434505,0.409478,28.0786
591.000000,0.434505,0.689031,28.0786
592.000000,0.434505,0.759851,28.0786
593.000000,0.435037,0.625133,28.0786
594.000000,0.435037,0.571352,28.0786
595.000000,0.435037,0.588392,28.0786
596.000000,0.435037,0.603834,28.0786
597.000000,0.435037,0.112886,28.0786
598.000000,0.435570,0.126198,28.0786
599.000000,0.435570,0.444622,28.0786
600.000000,0.435570,0.140042,28.0786
601.000000,0.435570,0.225772,28.0786
602.000000,0.436102,0.178381,28.0786
603.000000,0.436102,0.759318,28.0786
604.000000,0.436102,0.648562,28.0786
605.000000,0.436102,0.602769,28.0786
606.000000,0.436634,0.759318,28.0786
607.000000,0.436634,0.759318,28.0786
608.000000,0.436634,0.759318,28.0786
609.000000,0.436634,0.759318,28.1592
610.000000,0.436634,0.457934,28.1592
611.000000,0.436634,0.427582,28.1592
612.000000,0.437167,0.454739,28.1592
613.000000,0.437167,0.488285,28.1592
614.000000,0.437167,0.442492,28.1592
615.000000,0.437167,0.495207,28.1592
616.000000,0.437699,0.489883,28.1592
617.000000,0.437699,0.526624,28.1592
618.000000,0.437699,0.317359,28.1592
619.000000,0.437699,0.259318,28.1592
620.000000,0.438232,0.371672,28.1592
621.000000,0.438232,0.285942,28.1592
622.000000,0.438232,0.017572,28.1592
623.000000,0.438232,0.760383,28.1592
624.000000,0.438232,0.358892,28.1592
625.000000,0.438765,0.009052,28.1592
626.000000,0.438765,-0.004260,28.1592
627.000000,0.438765,-0.005325,28.1592
628.000000,0.438765,-0.004792,28.1592
629.000000,0.438765,-0.004260,28.1592
630.000000,0.438765,0.034611,28.1592
631.000000,0.439297,0.051650,28.1592
632.000000,0.439297,0.154952,28.1592
633.000000,0.439297,0.328541,28.2397
634.000000,0.439297,0.168796,28.2397
635.000000,0.439829,0.017572,28.2397
636.000000,0.439829,0.019702,28.2397
637.000000,0.439829,0.139510,28.2397
638.000000,0.439829,-0.006922,28.2397
639.000000,0.439829,-0.006390,28.2397
640.000000,0.440362,-0.006390,28.2397
641.000000,0.440362,-0.003727,28.2397
642.000000,0.440362,0.142705,28.2397
643.000000,0.440362,0.135250,28.2397
644.000000,0.440362,0.605964,28.2397
645.000000,0.440362,0.760383,28.2397
646.000000,0.440894,0.493078,28.2397
647.000000,0.440894,0.065495,28.2397
648.000000,0.440894,0.206070,28.2397
649.000000,0.440894,0.225239,28.2397
650.000000,0.440894,0.613951,28.2397
651.000000,0.440894,0.612353,28.2397
652.000000,0.440894,0.754526,28.2397
653.000000,0.441427,0.328541,28.2397
654.000000,0.441427,0.030351,28.2397
655.000000,0.441427,-0.007455,28.2397
656.000000,0.441427,0.016507,28.2397
657.000000,0.441427,-0.004792,28.2397
658.000000,0.441427,0.347710,28.2397
659.000000,0.441959,0.578807,28.2397
660.000000,0.441959,0.501065,28.2397
661.000000,0.441959,0.209797,28.2397
662.000000,0.441959,0.014909,28.2397
663.000000,0.441959,0.077742,28.2397
664.000000,0.442492,-0.002130,28.2397
665.000000,0.442492,0.333333,28.2397
666.000000,0.442492,0.744941,28.2397
667.000000,0.442492,0.715122,28.2397
668.000000,0.442492,0.760383,28.2397
669.000000,0.442492,0.758253,28.2397
